Start_Time,End_Time,Instance,Ondemand_Price,Spot_Price,Region,Zone,Algorithm_Name,Class,Time_in_Seconds,Total_Threads,Available_Threads,Mops_Total,Mops_per_Thread,Status
2024-06-18 10:01:27.908098,2024-06-18 10:03:24.877092,c7g.12xlarge,1.7400000000,0.791300,us-east-1,f,NAS Benchmark,D,44.82,24,24,3066.35,127.76,SUCCESS
2024-06-18 10:01:27.908098,2024-06-18 10:04:10.859423,c7g.12xlarge,1.7400000000,0.791300,us-east-1,f,NAS Benchmark,D,44.81,24,24,3067.34,127.81,SUCCESS
2024-06-18 10:01:27.908098,2024-06-18 10:04:56.745574,c7g.12xlarge,1.7400000000,0.791300,us-east-1,f,NAS Benchmark,D,44.82,24,24,3066.27,127.76,SUCCESS
2024-06-18 10:01:27.908098,2024-06-18 10:05:42.623907,c7g.12xlarge,1.7400000000,0.791300,us-east-1,f,NAS Benchmark,D,44.81,24,24,3066.94,127.79,SUCCESS
2024-06-18 10:07:00.050093,2024-06-18 10:08:37.501763,c5a.12xlarge,1.8480000000,0.868800,us-east-1,a,NAS Benchmark,D,70.08,24,24,1961.12,81.71,SUCCESS
2024-06-18 10:07:00.050093,2024-06-18 10:09:36.795449,c5a.12xlarge,1.8480000000,0.868800,us-east-1,a,NAS Benchmark,D,58.16,24,24,2363.15,98.46,SUCCESS
2024-06-18 10:07:00.050093,2024-06-18 10:10:36.328358,c5a.12xlarge,1.8480000000,0.868800,us-east-1,a,NAS Benchmark,D,58.38,24,24,2354.34,98.10,SUCCESS
2024-06-18 10:07:00.050093,2024-06-18 10:11:36.173718,c5a.12xlarge,1.8480000000,0.868800,us-east-1,a,NAS Benchmark,D,58.43,24,24,2352.26,98.01,SUCCESS
2024-06-18 10:07:00.050093,2024-06-18 10:12:35.668992,c5a.12xlarge,1.8480000000,0.868800,us-east-1,a,NAS Benchmark,D,58.16,24,24,2363.24,98.47,SUCCESS
2024-06-18 10:13:37.840263,2024-06-18 10:15:07.670015,c5.12xlarge,2.0400000000,0.880500,us-east-1,d,NAS Benchmark,D,63.30,24,24,2171.21,90.47,SUCCESS
2024-06-18 10:13:37.840263,2024-06-18 10:16:11.230150,c5.12xlarge,2.0400000000,0.880500,us-east-1,d,NAS Benchmark,D,62.41,24,24,2202.13,91.76,SUCCESS
2024-06-18 10:13:37.840263,2024-06-18 10:17:15.084747,c5.12xlarge,2.0400000000,0.880500,us-east-1,d,NAS Benchmark,D,62.72,24,24,2191.40,91.31,SUCCESS
2024-06-18 10:13:37.840263,2024-06-18 10:18:19.408622,c5.12xlarge,2.0400000000,0.880500,us-east-1,d,NAS Benchmark,D,63.21,24,24,2174.39,90.60,SUCCESS
2024-06-18 10:13:37.840263,2024-06-18 10:19:23.636490,c5.12xlarge,2.0400000000,0.880500,us-east-1,d,NAS Benchmark,D,63.15,24,24,2176.30,90.68,SUCCESS
2024-06-18 10:19:55.381192,2024-06-18 10:21:24.644541,c6a.12xlarge,1.8360000000,0.826500,us-east-1,d,NAS Benchmark,D,62.34,24,24,2204.62,91.86,SUCCESS
2024-06-18 10:19:55.381192,2024-06-18 10:22:28.635913,c6a.12xlarge,1.8360000000,0.826500,us-east-1,d,NAS Benchmark,D,62.87,24,24,2186.13,91.09,SUCCESS
2024-06-18 10:19:55.381192,2024-06-18 10:23:32.449221,c6a.12xlarge,1.8360000000,0.826500,us-east-1,d,NAS Benchmark,D,62.69,24,24,2192.50,91.35,SUCCESS
2024-06-18 10:19:55.381192,2024-06-18 10:24:35.917405,c6a.12xlarge,1.8360000000,0.826500,us-east-1,d,NAS Benchmark,D,62.25,24,24,2207.73,91.99,SUCCESS
2024-06-18 10:19:55.381192,2024-06-18 10:25:39.309557,c6a.12xlarge,1.8360000000,0.826500,us-east-1,d,NAS Benchmark,D,62.27,24,24,2207.13,91.96,SUCCESS
2024-06-18 10:27:11.882772,2024-06-18 10:28:38.233804,c7i.12xlarge,2.1420000000,0.952600,us-east-1,c,NAS Benchmark,D,59.89,24,24,2294.80,95.62,SUCCESS
2024-06-18 10:27:11.882772,2024-06-18 10:29:38.833081,c7i.12xlarge,2.1420000000,0.952600,us-east-1,c,NAS Benchmark,D,59.48,24,24,2310.57,96.27,SUCCESS
2024-06-18 10:27:11.882772,2024-06-18 10:30:39.448715,c7i.12xlarge,2.1420000000,0.952600,us-east-1,c,NAS Benchmark,D,59.50,24,24,2309.90,96.25,SUCCESS
2024-06-18 10:27:11.882772,2024-06-18 10:31:39.979682,c7i.12xlarge,2.1420000000,0.952600,us-east-1,c,NAS Benchmark,D,59.42,24,24,2313.07,96.38,SUCCESS
2024-06-18 10:27:11.882772,2024-06-18 10:32:43.711851,c7i.12xlarge,2.1420000000,0.952600,us-east-1,c,NAS Benchmark,D,62.66,24,24,2193.49,91.40,SUCCESS
2024-06-18 10:33:30.611229,2024-06-18 10:35:02.454623,c6i.12xlarge,2.0400000000,0.902200,us-east-1,d,NAS Benchmark,D,65.19,24,24,2108.30,87.85,SUCCESS
2024-06-18 10:33:30.611229,2024-06-18 10:36:08.855459,c6i.12xlarge,2.0400000000,0.902200,us-east-1,d,NAS Benchmark,D,65.33,24,24,2103.63,87.65,SUCCESS
2024-06-18 10:33:30.611229,2024-06-18 10:37:15.150334,c6i.12xlarge,2.0400000000,0.902200,us-east-1,d,NAS Benchmark,D,65.23,24,24,2106.98,87.79,SUCCESS
2024-06-18 10:33:30.611229,2024-06-18 10:38:21.314888,c6i.12xlarge,2.0400000000,0.902200,us-east-1,d,NAS Benchmark,D,65.09,24,24,2111.37,87.97,SUCCESS
2024-06-18 10:33:30.611229,2024-06-18 10:39:27.687235,c6i.12xlarge,2.0400000000,0.902200,us-east-1,d,NAS Benchmark,D,65.30,24,24,2104.62,87.69,SUCCESS
